id,user_id,hours,date,project_num,price
524,10,4,3/3/2019,2019-Lean-4,2.8
525,12,9,3/6/2019,2019-ISO-7,3.3
526,12,3.5,3/7/2019,2019-ISO-5,3.3
527,12,0.5,3/7/2019,2019-ISO-3,3.3
528,10,2,3/4/2019,2019-Cost Center-3,2.8
533,12,2.5,3/7/2019,2019-ISO-4,3.3
530,10,7,3/4/2019,2019-Lean-5,2.8
532,12,1.5,3/7/2019,2019-ISO-7,3.3
534,12,3,3/5/2019,2019-ISO-4,3.3
535,12,2,3/5/2019,2019-Cost Center-3,3.3
536,12,4,3/5/2019,2019-ISO-7,3.3
537,19,4,3/7/2019,2019-BPR-1,2.5
538,19,4,3/7/2019,2019-ISO-3,2.5
539,19,1,3/7/2019,2019-Cost Center-3,2.5
540,20,8,3/7/2019,2019-ISO-15,2.5
541,20,1,3/7/2019,2019-Cost Center-3,2.5
542,11,9,3/3/2019,2019-ISO-12,3
543,11,9,3/4/2019,2019-ISO-8,3
544,11,9,3/5/2019,2019-ISO-8,3
545,11,9,3/6/2019,2019-ISO-8,3
546,11,2,3/7/2019,2019-Cost Center-3,3
551,2,3,3/7/2019,2019-ISO-8,8.8
548,11,1,3/7/2019,2019-Vacation-1,3
549,11,2,3/7/2019,2019-ISO-3,3
550,11,4,3/7/2019,2019-ISO-12,3
552,2,6,3/7/2019,2019-Cost Center-3,8.8
553,2,9,3/6/2019,2019-Cost Center-3,8.8
555,1,4,3/6/2019,2019-Lean-1,8.8
556,1,1,3/6/2019,2019-Cost Center-3,8.8
557,1,4,3/7/2019,2019-Cost Center-2,8.8
558,1,3,3/7/2019,2019-Lean-1,8.8
559,1,2,3/7/2019,2019-Cost Center-3,8.8
560,13,0.5,3/6/2019,2019-BPR-1,3
561,13,0.5,3/6/2019,2019-Cost Center-3,3
562,13,0.5,3/6/2019,2019-ISO-11,3
564,13,4.5,3/7/2019,2019-ISO-5,3
567,13,0.5,3/7/2019,2019-Cost Center-3,3
568,13,3.5,3/7/2019,2019-ISO-13,3
569,13,0.5,3/7/2019,2019-ISO-9,3
651,13,2,3/11/2019,2019-ISO-9,3
579,13,0.5,3/11/2019,2019-ISO-13,3
580,13,0.5,3/11/2019,2019-ISO-2,3
581,19,9,3/10/2019,2019-BPR-1,2.5
652,13,5,3/11/2019,2019-ISO-5,3
583,14,9,3/10/2019,2019-ISO-16,2.8
584,14,9,3/11/2019,2019-ISO-4,2.8
586,15,4,3/10/2019,2019-ISO-4,3
587,15,1,3/10/2019,2019-ISO-13,3
588,15,4,3/10/2019,2019-ISO-7,3
592,15,3,3/11/2019,2019-ISO-10,3
591,15,6,3/11/2019,2019-ISO-12,3
593,53,9,3/11/2019,2019-ISO-4,1.9
594,2,2,3/12/2019,2019-ISO-4,8.8
595,2,2,3/12/2019,2019-BPR-1,8.8
596,2,5,3/12/2019,2019-Cost Center-3,8.8
597,2,2,3/11/2019,2019-BPR-1,8.8
598,2,7,3/11/2019,2019-Cost Center-3,8.8
599,2,9,3/10/2019,2019-Cost Center-3,8.8
600,1,5,3/12/2019,2019-Lean-4,8.8
604,19,5,3/12/2019,2019-ISO-3,2.5
602,1,2,3/12/2019,2019-Lean-2,8.8
603,19,1,3/12/2019,2019-ISO-12,2.5
605,1,2,3/12/2019,2019-Cost Center-3,8.8
606,19,3,3/12/2019,2019-BPR-1,2.5
607,19,2,3/11/2019,2019-ISO-3,2.5
608,19,1,3/11/2019,2019-ISO-12,2.5
609,19,6,3/11/2019,2019-BPR-1,2.5
610,1,9,3/11/2019,2019-Cost Center-3,8.8
611,53,7,3/12/2019,2019-ISO-4,1.9
612,53,2,3/12/2019,2019-ISO-15,1.9
613,15,6,3/12/2019,2019-ISO-5,3
614,15,3,3/12/2019,2019-Vacation-1,3
615,13,3,3/13/2019,2019-ISO-9,3
616,13,1,3/13/2019,2019-ISO-9,3
617,14,9,3/12/2019,2019-ISO-4,2.8
618,14,5,3/13/2019,2019-ISO-16,2.8
619,14,1,3/13/2019,2019-Cost Center-3,2.8
620,14,3,3/13/2019,2019-ISO-4,2.8
621,2,9,3/13/2019,2019-Cost Center-3,8.8
622,53,9,3/13/2019,2019-ISO-13,1.9
629,10,3,3/13/2019,2019-Lean-2,2.8
624,19,4,3/13/2019,2019-ISO-3,2.5
625,1,2,3/13/2019,2019-BPR-1,8.8
626,19,5,3/13/2019,2019-BPR-1,2.5
627,10,3.5,3/9/2019,2019-Lean-5,2.8
628,1,2,3/13/2019,2019-Cost Center-3,8.8
630,10,6,3/13/2019,2019-Lean-5,2.8
631,10,4,3/12/2019,2019-Lean-1,2.8
632,10,5,3/12/2019,2019-Lean-2,2.8
633,10,4,3/11/2019,2019-Lean-2,2.8
634,10,5,3/11/2019,2019-Lean-4,2.8
637,10,4.5,3/10/2019,2019-Lean-1,2.8
636,10,4.5,3/10/2019,2019-Lean-2,2.8
638,1,5,3/13/2019,2019-Lean-5,8.8
639,1,2,3/10/2019,2019-Lean-2,8.8
640,1,7,3/10/2019,2019-Cost Center-3,8.8
